dishId,cluster,ingredientName
14768,0,"['牛奶', '低筋麵粉', '雞蛋']"
14790,4,"['蝦子', '高麗菜', '紅蘿蔔', '蔥', '中筋麵粉', '雞蛋', '紹興酒']"
14792,4,"['薑', '蔥', '排骨', '紹興酒']"
14802,2,"['羊肉', '韭菜', '蒜頭', '薑', '蔥', '枸杞', '紅蘿蔔', '紹興酒', '太白粉', '鰹魚粉']"
14805,1,"['番茄', '梅子']"
14808,1,"['鯛魚', '洋蔥', '金針菇', '紹興酒']"
14823,4,"['莧菜', '高湯', '鹹蛋', '雞蛋', '太白粉']"
14832,4,"['豆腐', '豬絞肉', '蔥', '太白粉']"
14834,1,"['鮭魚', '蘑菇', '青江菜', '義大利麵']"
14847,1,"['番茄', '白飯', '小黃瓜', '玉米', '起司']"
14850,4,"['鱈魚', '薑', '鰹魚粉', '蔥', '高麗菜']"
14855,2,"['甜椒', '南瓜', '蘑菇', '櫛瓜', '香腸', '雞蛋']"
14857,2,"['莧菜', '蒜頭', '海帶', '香腸', '雞蛋', '火腿', '豌豆', '海苔', '白飯']"
14862,1,"['白飯', '海苔', '起司', '熱狗', '西洋芹', '蝦子', '雞蛋']"
14865,4,"['雞腿', '枸杞', '紹興酒', '蔥']"
14871,1,"['年糕', '洋蔥', '豬五花肉', '泡菜', '高湯']"
14872,1,"['透抽', '蒜頭', '小黃瓜']"
14881,2,"['蒜頭', '高麗菜', '香菇', '金針菇', '豆腐', '高湯', '香菜']"
14892,0,"['中筋麵粉', '泡打粉', '雞蛋', '柳橙', '橙汁']"
14897,1,"['蝦子', '高麗菜', '紅蘿蔔', '雞蛋', '泡麵']"
14898,3,"['香魚', '地瓜']"
14907,0,"['高筋麵粉', '酵母', '奶粉', '雞蛋', '蔥']"
14911,4,"['豬五花肉', '鴻喜菇', '蔥', '薑', '紹興酒', '檸檬']"
14917,0,"['鮪魚', '鮮奶油', '蘑菇', '洋蔥', '青豆', '義大利麵', '起司']"
14920,1,"['香腸', '玉米', '毛豆', '蒜頭']"
14925,0,"['肉鬆', '酥皮', '雞蛋', '高筋麵粉', '酵母', '奶粉']"
14943,2,"['雞腿', '薑', '蒜頭', '九層塔', '紹興酒']"
14948,1,"['魚板', '蟹管肉', '火腿', '青豆', '海苔']"
14952,2,"['白飯', '海苔', '鮪魚', '豬絞肉', '蔥', '紅蘿蔔', '洋蔥', '雞蛋', '太白粉', '魴', '蒜頭', '竹筍', '小白菜']"
14956,4,"['豆干', '蔥', '薑']"
14961,4,"['雞翅', '薑', '蒜頭', '蔥', '紹興酒']"
14964,0,"['低筋麵粉', '雞蛋', '牛奶', '蘋果', '檸檬']"
14973,1,"['小白菜', '貢丸', '豆皮', '豆腐', '金針菇', '雞蛋']"
14981,4,"['馬鈴薯', '紅蘿蔔', '洋蔥', '優格', '雞腿', '太白粉']"
14996,0,"['培根', '雞蛋', '干貝', '蔥', '白飯']"
15010,3,['嫩豆腐']
15017,0,"['雞蛋', '低筋麵粉', '玉米粉']"
15031,1,"['透抽', '薑', '紹興酒']"
15032,1,"['蒜頭', '高湯', '鹹蛋', '苦瓜']"
15034,1,"['洛神', '檸檬']"
15037,0,"['中筋麵粉', '泡打粉', '牛奶', '檸檬', '雞蛋']"
15048,2,"['西洋芹', '香菇', '紅蘿蔔', '蒜頭', '蔥']"
15052,0,"['雞蛋', '低筋麵粉', '蔓越莓']"
15058,0,"['高筋麵粉', '馬鈴薯', '酵母', '牛奶', '玉米', '香腸', '起司']"
15062,1,"['九層塔', '蒜頭']"
15063,1,"['鱸魚', '檸檬', '香菜', '蒜頭']"
15075,1,"['鴨肉', '薑', '米', '高麗菜', '金針菇']"
15088,0,"['雞蛋', '低筋麵粉', '泡打粉', '牛奶']"
15099,1,"['花生', '菠菜']"
15101,1,"['豬肉', '洋蔥', '檸檬']"
15122,3,['檸檬']
15156,0,"['低筋麵粉', '雞蛋', '泡打粉', '草莓', '鮮奶油']"
15166,1,"['酪梨', '洋蔥', '番茄', '白飯']"
15171,0,"['雞蛋', '海苔', '米', '梅子']"
15173,3,['優格']
15175,0,"['雞蛋', '低筋麵粉', '草莓', '鮮奶油', '泡打粉']"
15178,1,"['羊肉', '白酒', '番茄', '洋蔥']"
15184,0,"['鮮奶油', '雞蛋', '低筋麵粉', '泡打粉', '鳳梨']"
15188,0,"['高麗菜', '四季豆', '紅蘿蔔', '玉米', '雞蛋', '低筋麵粉', '玉米粉', '鰹魚片']"
15197,2,"['蝦子', '冬粉', '洋蔥', '蔥', '番茄', '木耳', '香菜', '蒜頭', '檸檬']"
15198,1,"['香菜', '雞蛋']"
15204,0,"['雞蛋', '低筋麵粉', '芋頭', '鮮奶油']"
15209,4,"['牛小排', '洋蔥', '蔥', '蒜頭', '紹興酒', '太白粉']"
